id,text,source,category,sondre,mathias,vilde,kristoffer
1212493450417000448',"Navn Hørte bare om klima fra kjærringa. Klart det, det var jo hovedparolen fra bestevenninna Merkel.'",tw,3,2,2,2,2
1231594352151089153,Navn Navn Navn Navn Navn Spekulasjon i hva som er mellom bena er unødvendig - mennesket er kjønns spesifikt - de få transvestittene er åpenbare. At Navn og homse/pervo vennene hans driver lobbyisme mot Navn for at ICD blir aktivistisk LQTP-dokument r som d r - ICD11 er ikke faglig godkjent,tw,5,4,4,4,4
4658830098,"Våre nye landsmenn har beriket Oslos gater i natt også, jeg er glad jeg aldri skal sette min fot i den byen mer.",rs,4,4,4,3,3
5708,"Har dem tefflonhjerne hele gjengen,makan😡😡",fb,3,3,3,3,4
4661207608,Woo hooo!!Vi kan bruke statens pensjonsfond for å sende alle innvandrerne i Norge til månen!!,rs,5,5,5,5,5
4660545676,"Vi ser ikke bare hva som skjer her hjemme, men også hva som skjer der de kommer ifra. Konklusjonen er at hjemlandene deres er den rette plassen for dem.",rs,5,5,4,3,3
1217072583759233024,Navn Hold kjeft Navn ikkje vær så rasist mod okkas nye landsmenn,tw,4,2,3,3,3
4252,Navn et godt eksempel på fake news det du skriver ja.. Basert på myter og usakligheter. Typisk sosialistisk å kaste fra seg meningsløse utsagn uten noen rot i virkeligheten,fb,2,3,4,2,2
11424,Navn Navn Navn Utrolig Navn hva du Kan og vet om 330 millioner Amerikanere. Din kilde er den Venstreorienterte presse. Akkurat som en i Usa hadde hørt på NRK. Han hadde trodd vi var kommunister,fb,2,2,4,2,2
1228217275133521920,"Navn Navn Navn Navn Navn Navn Navn Navn Navn Navn Nei, jeg er ikke spesielt dum og er dørgende lei av at de stakkars kakerlakkene skal ha det minste å gjøre med folks nedrige handlinger. Heldigvis har vi mennesker fått mulighet for å tenke selv. Det tillater jeg andre å gjøre også uten å kalle dem. Fine mangfold.",tw,4,2,3,3,3
199,Navn Navn Mulig å prate så forbasket mye drit?,fb,2,2,3,3,3
4857,Navn Navn Det du skriver er for dumt. Det er drept 153 nordmenn av innvandrer de siste 30 årene. Hvor mange har høyere ekstremister drept? Så kan du se om dette er fakr news,fb,3,3,4,3,3
1222669174322929670,Navn Til hhhh få de sendt tilbake indoktrinerte barbar kulturer. Frekkere en heioghvordetgår. La de være i barbar land.,tw,5,5,4,4,5
4679835464,Hvem er personen i blått..mann eller kvinne..??? Islam MÅ forbys!!!,rs,5,5,4,4,5
4683597752,"Jernteppet og den påfølgende lave levestandaren til Øst Blokken var deres redning..Mens vestlige land,er blitt voldtatt av afrikanere,arabere og asiatere i stor skala",rs,5,4,4,4,4
4681028872,"Ungdommen i dag er feilernærte, syke og svake.",rs,2,2,3,3,3
8762,Oppsiktsvekkende og skammelig! Hva er det for et samfunn vi går til i fremtiden?,fb,2,1,3,2,2
1217949465417592832,"Navn Navn Når du trenes opp i bomber, kutter. strupen på barn og kvinner. Da er du et hjernevasket sharia dyr. Og du er etnisk pakistansk. Bør du bli sendt til pakisan med ett lite bidrag. De klarer av slikt. Send hennes influensere dit også!",tw,5,5,5,5,5
2741,"Hvordan føles det å gå rundt med et symbol som symboliserer fundamentalisme og som millioner av kvinner i verden tvinges til å bruke, og om de nekter blir de straffet eller drept?",fb,4,3,4,3,3
1217544601952825344,"Navn Forsberg da... Blokkerte du meg du da lille stakkar..  Hadde jeg ikke samme mening som deg, da må vi blokkere ja.. Hehe.. Patetisk..  #Islam #Out #Of #Norway   #Facist   Navn",tw,3,4,3,4,4
1233428097850015744,Navn Og morsomt nok så er «klimafornektere» også de mest islam-fiendtlige. Og gjerne tilhengere av alle konspirasjonsteorier som gavner dem selv....,tw,4,3,4,3,3
4680002809,"Ja dette syns jeg må gjøre noe med. Erna må se og rydde opp i rote hun har gjort Jeg, mener nå at det må gå ann og bli  . Kvitt noe av disse muslimene",rs,5,5,4,5,5
1222387434018811904,"Navn Islam som hatar kvinnor, en vidrig stenåldersreligion",tw,4,4,4,4,4
3099,Navn Navn dette avskyelige damemenneske reiste frivillig til helvete for å tilfredsstille satans disipler ! Har du ikke fått med deg det !,fb,5,3,3,4,4
1228674126287659008,Navn Navn Navn Navn Navn Navn Navn Navn Navn Navn Navn Du har en stygg måte å behandle dine medmennesker på! Har du ikke et snev av empati med de svakeste i samfunnet som Regjeringen og du tråkker på!,tw,2,2,3,2,2
4685066950,Norge burde sende hjem alle tyrkere det er ikke krig i tyrkia de behøver ikke være i norge,rs,5,5,5,4,5
1217767216793505795,Innvandringspolitikk  se med bibelen heler ikke åpen dem ikke tro av noe så pass. Hun er norsk is men har bak i ryggen og på i hude løs. Det hun kan sitte i godt kontroll med deg men har bak arbeid vente hun åpne hus. Får dem satans sør Etiopia.,tw,4,2,5,3,3
3330,"Navn Navn ja nordmenn skal bråke både på facebook og andre medier, vi liker ikke at politikerne bruker milliarder av våre skattepenger til å hjelpe folk ut av idiotiske påfunn, hun elsket jo disse to terroristene, hva slags menneske er dette om det er lov å spørre. Galskap!!",fb,4,2,3,3,3
1220601081153183744,"Navn Navn Jeg hadde en lege som flytter til ei lita bygd, og fortalte at der gikk ikke folk til legen før det sto om livet, på en måye som fikk meg til å føle meg veldig liten og dum. Var jeg en av de som gikk i utide, liksom?",tw,3,1,3,1,1
4658644592,Amerikaniseringen er kanskje mer ønsket? Snikislamisering er ikke ønsket.Der har du forskjellen.,rs,4,4,4,4,3
6745,er du dyselektiker?,fb,3,1,3,1,1
1200474822268071937,jævla fitte møkk dritt piss helvete kukk faen,tw,3,1,3,3,3
2572,Navn Navn Navn er du mindre begavet eller tuller du? Ska ho fise i kjeften på noen som trenger HLR?,fb,4,2,3,3,3
4684429089,"Veks barnet opp til å verta ein heterofil muslimsk mann, må han repatrierast.",rs,5,5,5,4,4
1228637813073158144,Navn Stakkars riking som må menge seg med vanlige folk. Hvor fan skal dette ende?,tw,2,2,3,3,3
1224647556912885760,HVORFOR TVINGES JEG TIL Å BETALE FOR DENNE NY-KOMMUNISTISKE KLOAKKEN......????????????????,tw,2,2,4,2,3
4685118364,Enig. Ta en dna test og send dem på huet og ræva tilbake det de hører hjemme.,rs,5,5,5,3,3
4680657760,Send de tilbake sporenstreks. Men svar på en ting - Hvor kmmer alle afrikanere som samles på Oslo S fra? Det vrimler formelig...,rs,5,5,5,3,3
4686196390,"Sukk... Nye landsmenn, igjen.",rs,4,4,4,2,2
4678026890,Islamister har ingenting i norsk politikk å gjøre.,rs,3,4,4,4,2
1220447186254802945,En krf hykler å styre veibygging..en muslim til kulturstyring..skrekk og gru,tw,4,4,4,4,3
1219262339788107781,"På HØY tid. Nå må FRP gå mot en klar nasjonalkonservativ retning igjen (ikke den veike, rosa, kjerring-politikken til Siv &amp; Co). Da vil de prege norsk politikk i fremtiden og trekke seg fra liberal globalistisk BS.  Make Norway Great Again!",tw,3,2,3,4,3
1225466452486086658,"Navn Navn  Er ikke dette en god anledning til å vise det norske folk at dere også kan være ærlige og redelige mennesker? Selv om dere er en gjeng indoktrinerte moralvoktere, hvor hele deres identitet er så knyttet opp imot en mening/forening at uten er dere tomme skall.",tw,3,2,4,4,3
4662997415,"Hmmmmmm.La meg gjette.Du er en,,,,,,,,,,,,,,,,,,,,,,KOMMUNIST?????Har jeg rett??? Jeg tror nok det.",rs,2,2,3,3,3
4659740883,"For guds skyld la det skje med en eller helst alle av de mest innvandrer vennlige politikerne ""våre"". Ingenting kjennes bedre enn poetisk justis, og at åpne grenser politikere erfarer åpent gap med en del færre tenner.",rs,5,5,3,5,3
4679314674,"På tide at politiet er like effektive med å ut transportere våre ""nye landsmenn"" som de var med han amerikaneren forrige uke.Han hverken rakk å si eller gjøre noe før han var arrestert.",rs,3,4,5,3,3
1227375543240118272,Usensurert råsex med ung asiatisk jente,tw,3,1,3,2,2
4660002204,"Norge kunne ha verdens beste pensjonssystem, dersom vi ikke måtte sløse bort milliarder av skattekroner på horder av fattige fra fremmede og eksotiske land.",rs,2,4,4,3,3
9733,"Ja, det er på tide å sende disse immigrantene tilbake når deres barn som er født her begyner i skolen og ikke kan et ord norsk, da må tilogmed disse idiotene av byråkratene ha innsett at deres integrerings politikk er fullstendig feilslått og nyttesløst..",fb,5,3,5,3,3
1228965095268548608,Navn Når empati- og kunnskapsløse eldre menn har talt bør alle andre tie!,tw,2,2,2,2,2
9743,Send ned en lærer så kan de lære språket før de kommer.. Jævla mye spart av midler da. Vil de ikke lære så blir de der,fb,5,4,4,3,3
1217903894468157440,Herregud for en kjerring! Fatter ikke at media dyrker sånne som henne. Skulle aldri fått medieomtale. #melinajonhsen #71gradernordnorgestøffestekjendis #litesmart,tw,3,2,3,3,3
4679811737,Foreldre som slår sine barn skal ikke lenger være foreldre. De skal straffes med fengsel og miste foreldreansvaret. Deretter bør de steriliseres.,rs,2,3,3,3,3
10940,Navn Navn Navn hvor? Synes ikke det er mye syndig rundt omkring. Kanskje det er når du smugtitter på porno på nettet Anne Marie 🤪🤪🤪 tenker man på sex og synd hele tiden så legger man sikkert merke til mye rart. Så får vi mer uskyldige sjeler passe våre egne saker,fb,2,2,3,2,2
4576,"Navn Navn Navn - ja, og hvis man er redd for å kalle en spade for en spade og ikke skal si at høyre-ekstreme har drept langt flere i Norge etter krigen en andre ekstremister.",fb,2,2,4,2,2
4662622571,Re:1% til USA. Pass på at du ikke har falt for propaganda om somalierne i USA da. Antallet terrorister fra den gruppen er jo helt sammenlignbart med slike grupper her i Europa.,rs,4,3,4,2,2
2867,Hijab eller andre religiøse symboler/klesplagg har ingenting med militæruniform å gjøre. Det burde være forbudt i Norge også.,fb,4,2,4,4,3
1214694314628042755,Kongefamilien blir dummere og dummere. Det nye er at Nordmenn skal underkaste seg islam. Sonja og prompen sier det.,tw,3,3,3,4,4
4678102069,Hun bær la seg omskjære i solidaritet med alle de små jentene som hvert eneste år lar seg frivillg omskjære! Så kan hun skrive om sine fantastiske orgasmer i ettertid!,rs,3,3,3,3,3
